ROWNUM;ADDRESS;NAME;DISTRICT;AREA;CHIEFNAME;CHIEFPOSIT;PHONE;FAX;WEBSITE;EMAIL;WRKHOURS;CLARIFICATIONOFWRKHOURS;NUM_ROOMS;TOT_SEAT;X;Y;GLOBALID;LAT;LON
16;Каро Фильм на Вернадского;пр-т Вернадского, д.6;Западный административный округ;район Раменки;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,527941;55,692139;85988592;55.692139;37.527941
17;Люксор Vegas;24-й км МКАД, ТРК «Vegas»;Южный административный округ;район Орехово-Борисово Южное;;;(495) 984 72 89, 984 72 88;;luxorfilm.ru;;;;;;37,724577;55,588128;85988593;55.588128;37.724577
18;Час кино Свиблово;ул. Снежная, д.27, ТК «Свиблово»;Северо-Восточный административный округ;район Свиблово;;;(499) 685 16 51, 685 16 52;;tk-chaspik.rukinoteatr/chaskinovtksviblovo.aspx;;;;;;37,653495;55,856376;85988594;55.856376;37.653495
19;5 звезд на Новокузнецкой;Большой Овчинниковский пер., д.16;Центральный административный округ;район Замоскворечье;;;(495) 916 91 69, 510 28 88;;5zvezd.ru;secretar@paradisegroup.ru;;;;;37,6302;55,744507;85988595;55.744507;37.6302
20;Кронверк Синема Семеновский;Семеновская пл., д.1;Восточный административный округ;район Соколиная Гора;;;(495) 660 02 65;;kronverkcinema.ru;e-mail:info@kronverkcinema.ru;;;;;37,720993;55,78293;85988596;55.78293;37.720993
21;Кронверк Синема Вэйпарк;71-й км МКАД, ТЦ «Вэйпарк»;Северо-Западный административный округ;район Северное Тушино;;;(495) 287 16 93, 287 16 95;;kronverkcinema.ru;e-mail:info@kronverkcinema.ru;;;;;37,395174;55,858939;85988597;55.858939;37.395174
22;Кинотеатр Музеон;Крымский Вал, д.10;Центральный административный округ;район Якиманка;;;(499) 238 33 96;;muzeoncinema.ru;;;;;;37,605769;55,735022;85988598;55.735022;37.605769
23;Динамит;Жулебинский б-р, д.5;Юго-Восточный административный округ;район Выхино-Жулебино;;;(495) 706 58 60;;dinamit-kino.ru;;;;;;37,844581;55,698714;85988599;55.698714;37.844581
24;Жанр;Смоленская пл., д.13/21;Центральный административный округ;район Арбат;;;(495) 724 05 93;;zhanrkino.ru;;;;;;37,58219;55,749546;85988600;55.749546;37.58219
25;Триумф;ул. Вавилова, д.66, стр. 1;Юго-Западный административный округ;Гагаринский район;;;(495) 739 89 78, 739 87 33;;kinoafisha.msk.rucinema/1387770/;;;;;;37,549198;55,683088;85988601;55.683088;37.549198
26;Времена года;Кутузовский пр-т, д.48;Западный административный округ;район Фили-Давыдково;;;(495) 589 19 19;;vremenagoda-cinema.ru;;;;;;37,487413;55,731747;85988602;55.731747;37.487413
27;Формула Кино на Можайке;53-й км МКАД, напротив «Ашана»;Западный административный округ;Можайский район;;;(495) 795 37 95;;formulakino.rucgi-bin/show.pl?option=cinema_description&id=38;info@formulakino.ru;;;;;37,389051;55,70566;85988603;55.70566;37.389051
28;Каро Фильм Иридиум;Зеленоград, Крюковская пл., д.1;Зеленоградский административный округ;район Силино;;;(495) 545 05 05;;karofilm.rutheatres/5;info@karofilm.ru;;;;;37,174925;55,982681;85988604;55.982681;37.174925
29;Арт-кино;Сокольническая пл., д.7;Восточный административный округ;район Сокольники;;;(495) 640 23 21;;artkinoclub.ru;info@artkinoclub.ru;;;;;37,679936;55,791656;85988606;55.791656;37.679936
30;Кинотеатр Пионер летний;Крымский Вал, д.9;Центральный административный округ;район Якиманка;;;(495) 755 00 32;;park-gorkogo.com/cinema/;info@park-gorkogo.com;;;;;37,603442;55,731416;85988607;55.731416;37.603442
31;4D Cinema на Пресненском Валу;Пресненский Вал, д.14/1;Центральный административный округ;Пресненский район;;;(495) 234 18 18, доб. 259;;4dstereo.com;mr@4dstereo.com;;;;;37,564865;55,76654;85988608;55.76654;37.564865
32;Киноклуб Докер;Никитский б-р, д.8а;Центральный административный округ;Пресненский район;;;(910) 434 74 76, (926) 565 94 07;;dokerproject.ru;info@dokerproject.ru;;;;;37,601538;55,753994;85988609;55.753994;37.601538
33;Территория 5D;ул. Вавилова, д.3;Южный административный округ;Донской район;;;(495) 764 12 76;;5-d.ru;;;;;;37,592121;55,706876;85988610;55.706876;37.592121
34;Вдох/выдох;ул. Большая Тульская, д.11;Южный административный округ;Даниловский район;;;(903) 678 19 02;;breath-exhalation.ru;breath-exhalation@gmail.com;;;;;37,623889;55,710105;85988611;55.710105;37.623889
35;Kinoklub;ул. Нижнаяя Сыромятническая, д.10, стр. 3;Центральный административный округ;Басманный район;;;(495) 664 39 80;;kknw.ru;;;;;;37,669573;55,751731;85988612;55.751731;37.669573
36;Drive VV;Рязанский пр-т, д.2, корп. 2;Юго-Восточный административный округ;Нижегородский район;;;(916) 587 59 32;;afisha.rumsk/cinema/4247/;;;;;;37,73116;55,72981;85988613;55.72981;37.73116
37;Формула Кино на Мичуринском;Мичуринский пр-т, Олимпийская деревня, д.3, корп. 1;Западный административный округ;район Тропарёво-Никулино;;;(495) 795 37 95;;formulakino.ru;info@formulakino.ru;;;;;37,467071;55,677898;85988615;55.677898;37.467071
38;Кинотеатр под открытым небом;ул. Мантулинская, д.5, стр. 2;Центральный административный округ;Пресненский район;;;;;formulakino.ru;info@formulakino.ru;;;;;37,55018;55,755615;85988616;55.755615;37.55018
39;Формула Кино Горизонт;Комсомольский пр-т, д.21/10;Центральный административный округ;район Хамовники;;;(495) 795 37 95;;formulakino.ru;info@formulakino.ru;;;;;37,584755;55,728059;85988617;55.728059;37.584755
40;Радуга кино;пр-т Андропова, д.8;Южный административный округ;Даниловский район;;;(495) 663 36 64, (905) 599 61 21;;radygakino.ru;;;;;;37,66505;55,695906;85988618;55.695906;37.66505
41;Синема Парк на Октябрьском Поле;ул. Маршала Бирюзова, д.32;Северо-Западный административный округ;район Щукино;;;(495) 644 41 11;;cinemapark.ru;info@cinemapark.ru;;;;;37,482945;55,799789;85988619;55.799789;37.482945
42;Синема Парк на Калужской;ул. Профсоюзная, д.61а;Юго-Западный административный округ;район Черёмушки;;;(495) 644 41 11;;cinemapark.ru;info@cinemapark.ru;;;;;37,542271;55,655755;85988620;55.655755;37.542271
43;Формула Кино Стрела;Смоленская-Сенная пл., д.23/25;Центральный административный округ;район Хамовники;;;(495) 795 37 95;;formulakino.ru;info@formulakino.ru;;;;;37,582732;55,744144;85988621;55.744144;37.582732
44;Ролан;Чистопрудный б-р, д.12а;Центральный административный округ;Басманный район;;;(495) 916 91 69, 916 94 12;;rolan.ru;;;;;;37,64383;55,760478;85988622;55.760478;37.64383
45;Каро Фильм Щука;ул. Щукинская, д.42;Северо-Западный административный округ;район Щукино;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,464656;55,809506;85988623;55.809506;37.464656
46;Kinostar New York;14-й км МКАД, ТЦ «Мега Белая Дача»;Юго-Восточный административный округ;район Капотня;;;(495) 662 16 06, 644 41 11;;cinemapark.ru;info@cinemapark.ru;;;;;37,845243;55,653969;85988624;55.653969;37.845243
47;Солярис;ул. Перерва, д.43, корп. 1;Юго-Восточный административный округ;район Марьино;;;(499) 929 89 86, 929 89 87;;kinomax.ru;;;;;;37,749673;55,659667;85988625;55.659667;37.749673
48;5 звезд на Павелецкой;ул. Бахрушина, д.25;Центральный административный округ;район Замоскворечье;;;(495) 916 91 73, 916 91 69;;5zvezd.ru;secretar@paradisegroup.ru;;;;;37,637422;55,73298;85988626;55.73298;37.637422
49;Каро Фильм Октябрь;ул. Новый Арбат, д.24;Центральный административный округ;район Арбат;;;(495) 545 05 05;;karofilm.rutheatres/5;info@karofilm.ru;;;;;37,587634;55,753092;85988628;55.753092;37.587634
50;Фитиль;Фрунзенская наб., д.12;Центральный административный округ;район Хамовники;;;(495) 287 02 11;;fitil-club.ru;;;;;;37,594096;55,732082;85988630;55.732082;37.594096
51;Drive VV;Ореховый б-р, д.22а;Южный административный округ;район Зябликово;;;(916) 966 53 89;;vashdosug.rumsk/cinema/place/50320/;;;;;;37,732689;55,612052;85988631;55.612052;37.732689
52;Байконур;ул. Декабристов, д.17;Северо-Восточный административный округ;район Отрадное;;;(499) 204 51 19, 204 53 14;;maxikarta.rumsk/bajkonur/74272;;;;;;37,605064;55,864888;85988632;55.864888;37.605064
53;5D Стерео;пр-т Мира, д.119 стр.541, ВВЦ, пав.9;Северо-Восточный административный округ;Останкинский район;;;(495) 729 26 52, 720 00 55;;3dhd.ru;;;;;;37,629864;55,827096;85988633;55.827096;37.629864
54;Романов Синема;Романов пер., д.4;Центральный административный округ;район Арбат;;;(495) 609 64 54;;romanov-cinema.ru;administrator@romanov-cinema.ru;;;;;37,609019;55,754706;85988634;55.754706;37.609019
55;Киносфера;ул. Правобережная, д.1б;Северный административный округ;район Левобережный;;;(495) 775 77 79;;kinosfera.ru;;;;;;37,449699;55,880918;85988635;55.880918;37.449699
56;Азовский;ул. Азовская, д.24, стр. 3;Юго-Западный административный округ;район Зюзино;;;(495) 735 40 13;;kino-a8.ru;;;;;;37,596626;55,646933;85988636;55.646933;37.596626
57;Каро Фильм Электрон;г.Зеленоград, пл. Юности, д.1;Зеленоградский административный округ;район Матушкино;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,20977;56,002728;85988637;56.002728;37.20977
58;Байкал-Атлантис;ул. Михалковская, д.4;Северный административный округ;район Коптево;;;(495) 708 80 15, 708 80 47;;baykal-atlantis.ru;info@baykal-atlantis.ru;;;;;37,538125;55,837422;85988638;55.837422;37.538125
59;Формула Кино Витязь;ул. Миклухо-Маклая, д.27а;Юго-Западный административный округ;район Коньково;;;(495) 795 37 95;;formulakino.ru;info@formulakino.ru;;;;;37,516871;55,647409;85988639;55.647409;37.516871
60;Каро Фильм Теплый Стан;Новоясеневский пр-т, д.1;Юго-Западный административный округ;район Ясенево;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,509208;55,619488;85988640;55.619488;37.509208
61;Каро Фильм Алтуфьево;Алтуфьевское ш., д.70 корп. 1;Северо-Восточный административный округ;район Бибирево;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,588646;55,888232;85988641;55.888232;37.588646
62;Каро Фильм Киргизия;Зеленый пр-т, д.81;Восточный административный округ;район Новогиреево;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,820259;55,751811;85988642;55.751811;37.820259
63;5D-Визион;пл. Ганецкого, д.1;Северный административный округ;Войковский район;;;(495) 509 51 85;;kino-4d.ru;;;;;;37,50047;55,820158;85988643;55.820158;37.50047
64;Кино на заводе N;ул. Электрозаводская, д.21;Восточный административный округ;район Преображенское;;;(903) 218 91 56;;moscow.vibirai.ru146956/;;;;;;37,703876;55,787412;85988644;55.787412;37.703876
65;Кронверк Синема Лефортово;ш. Энтузиастов, д.12/2;Юго-Восточный административный округ;район Лефортово;;;(495) 961 02 61;;kronverkcinema.ru;info@kronverkcinema.ru;;;;;37,706747;55,74781;85988645;55.74781;37.706747
66;Формула Кино Ладога;ул. Широкая, д.12;Северо-Восточный административный округ;район Северное Медведково;;;(495) 795 37 95;;formulakino.ru;info@formulakino.ru;;;;;37,659445;55,88666;85988646;55.88666;37.659445
67;Каро Фильм Южное Бутово;ул. Веневская, д.6;Юго-Западный административный округ;район Южное Бутово;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,543042;55,547844;85988647;55.547844;37.543042
68;Каро Фильм на Каширке;Каширское ш., д.61, корп. 2;Южный административный округ;район Орехово-Борисово Северное;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,713812;55,621633;85988648;55.621633;37.713812
69;Каро Фильм Звездный;пр-т Вернадского, д.14;Западный административный округ;район Проспект Вернадского;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,504746;55,676909;85988649;55.676909;37.504746
70;Синема Стар Рио;ул. Большая Черемушкинская, д.1;Юго-Западный административный округ;район Котловка;;;(495) 980 44 15;;cinemastar.ru;;;;;;37,602035;55,689675;85988650;55.689675;37.602035
71;Каро Фильм на Шереметьевской;ул. Шереметьевская, д.20;Северо-Восточный административный округ;район Марьина Роща;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,618556;55,803415;85988651;55.803415;37.618556
72;Каро Фильм на Севастопольском;Севастопольский пр-т, д.11е;Юго-Западный административный округ;район Котловка;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,604036;55,687329;85988652;55.687329;37.604036
73;Формула Кино Прага;ул. Нижняя Масловка, д.10;Северный административный округ;Савёловский район;;;(495) 795 37 95;;formulakino.ru;info@formulakino.ru;;;;;37,577977;55,792736;85988653;55.792736;37.577977
74;Киноклуб Востокино;Никитский б-р, д.12а;Центральный административный округ;Пресненский район;;;(495) 691 49 66;;kino-teatr.ru;;;;;;37,599795;55,756443;85988654;55.756443;37.599795
75;Киноклуб Мастер-клас;Лубянский пр-д, д.3/6 стр.4;Центральный административный округ;Басманный район;;;;;artkinoclub.ru;info@artkinoclub.ru;;;;;37,629729;55,759513;85988655;55.759513;37.629729
76;Drive VV;ул. Люблинская, д.153;Юго-Восточный административный округ;район Марьино;;;(916) 944 67 95;;vashdosug.rumsk/cinema/place/50321/;;;;;;37,741848;55,658761;85988656;55.658761;37.741848
77;Центрфильм на Щелковской;Щелковское ш., д.100;Восточный административный округ;район Северное Измайлово;;;(495) 589 19 19, (499) 684 00 24, (499) 684 00 25;;centerfilm.ru;info@centerfilm.ru;;;;;37,833974;55,81207;85988657;55.81207;37.833974
78;Соловей;ул. Дружинниковская, д.15;Центральный административный округ;Пресненский район;;;(499) 255 96 92, 255 92 37, (495) 605 73 06;;kinocenter.ru;info@kinocenter.ru;;;;;37,574869;55,759721;85988658;55.759721;37.574869
79;Час кино Алтуфьево;87-й км МКАД, д.8, ТК «Час пик»;Северо-Восточный административный округ;район Бибирево;;;(495) 580 22 25;;tk-chaspik.rukinoteatr.aspx;;;;;;37,629395;55,898617;85988659;55.898617;37.629395
80;Синема Стар Ереван плаза;ул. Большая Тульская, д.13;Южный административный округ;Даниловский район;;;(495) 980 44 15, 514 24 20;;erevanplaza.ru;pr@erevanplaza.ru;;;;;37,622082;55,708701;85988660;55.708701;37.622082
81;Алмаз Синема Ленинград;ул. Новопесчаная, д.12;Северный административный округ;район Сокол;;;(495) 221 52 21, (499) 157 75 52;;almazcinema.ru;info@almazcinema.ru;;;;;37,513331;55,798829;85988661;55.798829;37.513331
82;Синема Стар Рио на Дмитровском шоссе;Дмитровское ш., д.163а, корп. 1;Северо-Восточный административный округ;район Северный;;;(495) 980 44 15, 988 03 77;;cinemastar.ru;;;;;;37,540232;55,909472;85988662;55.909472;37.540232
83;Территория 5D;Манежная пл., д.1, стр. 2;Центральный административный округ;Тверской район;;;(495) 764 12 76;;5-d.ru;;;;;;37,614578;55,755671;85988663;55.755671;37.614578
84;Бульвар;б-р Дмитрия Донского, д.1;Юго-Западный административный округ;район Северное Бутово;;;(495) 647 49 49;;kinobulvar.info;;;;;;37,580169;55,574933;85988664;55.574933;37.580169
85;Бумеранг на Варшавской;Варшавское ш., д.87б;Южный административный округ;Нагорный район;;;(495) 221 50 67, 221 50 68;;;;;;;;37,620681;55,653661;85988665;55.653661;37.620681
86;Алмаз Синема Алмаз;ул. Шаболовка, д.56;Южный административный округ;Донской район;;;(495) 221 52 21, 954 10 02;;almazcinema.ru;info@almazcinema.ru;;;;;37,605848;55,712215;85988666;55.712215;37.605848
87;Каро Фильм Баррикады;ул. Баррикадная, д.21/34, стр. 3;Центральный административный округ;Пресненский район;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,579322;55,760486;85988667;55.760486;37.579322
88;Алмаз Синема Солнцево;ул. Богданова, д.19;Западный административный округ;район Солнцево;;;(495) 221 52 21, 439 52 00;;almazcinema.ru;info@almazcinema.ru;;;;;37,393301;55,652744;85988668;55.652744;37.393301
89;Nescafe IMAX;ул. Правобережная, д.1б;Северный административный округ;район Левобережный;;;(495) 775 77 79;;nescafe-imaxcinema.ru;;;;;;37,449699;55,880918;85988669;55.880918;37.449699
90;Киноклуб Документальная среда;ул. Каретный Ряд, д.5/10;Центральный административный округ;Тверской район;;;;;;;;;;;37,60841;55,772714;85988670;55.772714;37.60841
91;Сезон Синема на Пражской;ул. Красного Маяка, д.2б;Южный административный округ;район Чертаново Центральное;;;(495) 721 82 80, 721 36 34, 943 60 68;;sezonkino.ru;;;;;;37,606846;55,61106;85988671;55.61106;37.606846
92;Дом кино;ул. Васильевская, д.13;Центральный административный округ;Пресненский район;;;(499) 251 40 65, 254 48 34;;domkino.spb.ru;press-domkinospb@mail.ru;;;;;37,588018;55,771917;85988673;55.771917;37.588018
93;Синема Парк De Lux Метрополис;Ленинградское ш., д.16а стр.4;Северный административный округ;Войковский район;;;(495) 789 96 85, 644 41 11;;cinemapark.ru;feedback@cinemapark.ru.;;;;;37,497644;55,823269;85988674;55.823269;37.497644
94;Формула Кино Европа;пл. Киевского Вокзала, д.2;Западный административный округ;район Дорогомилово;;;(495) 795 37 95;;formulakino.ru;info@formulakino.ru;;;;;37,56598;55,744569;85988675;55.744569;37.56598
95;4D Cinema на Люблинской;ул. Люблинская, д.100;Юго-Восточный административный округ;район Марьино;;;(916) 458 36 70;;4dstereo.com;;;;;;37,739078;55,654654;85988676;55.654654;37.739078
96;Люксор в Ясенево;Новоясеневский пр-т, д.11;Юго-Западный административный округ;район Ясенево;;;(495) 641 33 06, 641 33 07;;luxorfilm.ru;;;;;;37,536286;55,606721;85988677;55.606721;37.536286
97;Формула Кино София;Сиреневый б-р, д.31;Восточный административный округ;район Северное Измайлово;;;(495) 795 37 95;;formulakino.ru;info@formulakino.ru;;;;;37,800638;55,803828;85988678;55.803828;37.800638
98;Каро Фильм Атриум;Земляной Вал, д.33;Центральный административный округ;Басманный район;;;(495) 545 05 05;;karofilm.ru;info@karofilm.ru;;;;;37,658936;55,757308;85988679;55.757308;37.658936
99;Энтузиаст. Большой зал;ул. Вешняковская, д.16а;Восточный административный округ;район Вешняки;;;(499) 373 50 01, 373 50 10;;cinemalend.ru;entyziastkino@mail.ru;;;;;37,826287;55,724708;85988680;55.724708;37.826287
100;Киномакс XL;Дмитровское ш., д.89;Северный административный округ;район Западное Дегунино;;;(495) 221 52 21, 721 25 92;;kinomax.ruxl;;;;;;37,545601;55,863772;85988681;55.863772;37.545601
101;Люксор Центр;пр-т Мира, д.211;Северо-Восточный административный округ;район Свиблово;;;(495) 665 13 53;;luxorfilm.ru;;;;;;37,661269;55,845599;85988682;55.845599;37.661269
102;5 звезд Бирюлево;ул. Бирюлевская, д.17;Южный административный округ;район Бирюлёво Восточное;;;(495) 916 91 69, 326 54 82;;5zvezd.ru;secretar@paradisegroup.ru;;;;;37,66409;55,595546;85988683;55.595546;37.66409
103;Люксор в Митино;ул. Дубравная, влад. 34/29;Северо-Западный административный округ;район Митино;;;(495) 641 33 04, 641 33 05, 641 33 05;;luxorfilm.ru;;;;;;37,358143;55,846269;85988684;55.846269;37.358143
104;Кинотеатр им. Моссовета;Преображенская пл., д.12;Восточный административный округ;район Преображенское;;;(495) 963 03 32, 963 03 20;;mossovet.com;;;;;;37,713687;55,794324;85988685;55.794324;37.713687
105;Под куполом;Олимпийский пр-т, д.18/1;Центральный административный округ;Мещанский район;;;(495) 931 98 73;;domecinema.ru;;;;;;37,623847;55,785106;85988686;55.785106;37.623847
106;Космос;пр-т Мира, д.109;Северо-Восточный административный округ;Останкинский район;;;(495) 683 86 67, 227 36 64;;kinokosmos.ru;admin@kinokosmos.ru;;;;;37,636783;55,818696;85988687;55.818696;37.636783
107;Люксор в Отрадном;ул. Декабристов, д.12;Северо-Восточный административный округ;район Отрадное;;;(495) 363 02 12, 363 02 11;;luxorfilm.ru;;;;;;37,602028;55,863237;85988688;55.863237;37.602028
108;Алмаз Синема Мечта;Каширское ш., д.42, корп. 1;Южный административный округ;район Москворечье-Сабурово;;;(495) 221 52 21, (499) 324 53 49;;almazcinema.ru;info@almazcinema.ru;;;;;37,662084;55,64862;85988689;55.64862;37.662084
109;Саяны;ул. Саянская, д.9;Восточный административный округ;район Ивановское;;;(495) 307 89 13;;;;;;;;37,832714;55,768343;85988690;55.768343;37.832714
110;Кронверк Синема МДМ;Комсомольский пр-т, д.28;Центральный административный округ;район Хамовники;;;(495) 782 88 33, 782 88 36;;kronverkcinema.ru;info@kronverkcinema.ru;;;;;37,579732;55,726994;85988693;55.726994;37.579732
111;Бумеранг на Теплом Стане;Профсоюзная ул., д.129а;Юго-Западный административный округ;район Ясенево;;;(495) 987 16 41, 987 16 42;;princeplaza.rucinema_bumerang.ru;;;;;;37,507398;55,61839;85988694;55.61839;37.507398
112;Победа;ул. Абельмановская, д.17а;Центральный административный округ;Таганский район;;;(495) 793 30 43;;pobeda-cinema.ru;cinema@pobeda-cinema.ru;;;;;37,670851;55,734525;85988695;55.734525;37.670851
113;Киноконцертный зал Орион;ул. Летчика Бабушкина, д.26;Северо-Восточный административный округ;Лосиноостровский район;;;495 665-13-54;;luxorfilm.ru;;;;;;37,677209;55,869144;85988696;55.869144;37.677209
114;Киноконцертный зал Гавана (кинотеатр);ул. Шереметьевская, д.2, стр.1;Северо-Восточный административный округ;район Марьина Роща;;;495 665-13-54;;luxorfilm.ru;;;;;;37,618912;55,793698;85988697;55.793698;37.618912
115;Ханой;Литовский б-р, д.7;Юго-Западный административный округ;район Ясенево;;;;;;;;;;;37,538779;55,613757;85988698;55.613757;37.538779
116;Кунцево;ул. Ивана Франко, д.14;Западный административный округ;район Кунцево;;;;;;;;;;;37,440827;55,728548;85988699;55.728548;37.440827
117;Балтика;ул. Сходненская, д.54;Северо-Западный административный округ;район Южное Тушино;;;;;baltika-kino.ru;;;;;;37,440526;55,849205;85988700;55.849205;37.440526
118;Ангара;Чонгарский б-р, д.7;Южный административный округ;Нагорный район;;;;;;;;;;;37,612433;55,651417;85988701;55.651417;37.612433
119;Аврора;ул. Профсоюзная д.154;Юго-Западный административный округ;район Тёплый Стан;;;;;;;;;;;37,504652;55,62154;85988702;55.62154;37.504652
120;Ашхабад;ул. Чертановская, д.17а;Южный административный округ;район Чертаново Северное;;;;;;;;;;;37,597646;55,623987;85988703;55.623987;37.597646
121;Будапешт;ул. Лескова, д.14;Северо-Восточный административный округ;район Бибирево;;;(495) 405-99-33;;centerfilm.ru;info@centerfilm.ru;;;;;37,604515;55,89737;85988704;55.89737;37.604515
122;Варшава;пл. Ганецкого, д.1;Северный административный округ;Войковский район;;;(495) 509 51 85;;kino-4d.ru;;;;;;37,50047;55,820158;85988705;55.820158;37.50047
123;Волгоград;ул. Ферганская, д.17;Юго-Восточный административный округ;район Выхино-Жулебино;;;;;;;;;;;37,819299;55,706389;85988706;55.706389;37.819299
124;Высота;ул. Юных Ленинцев, д.52;Юго-Восточный административный округ;район Кузьминки;;;(495) 663-63-71;;centerfilm.ru;info@centerfilm.ru;;;;;37,765409;55,699822;85988707;55.699822;37.765409
125;Керчь;ул. Бирюлевская, д.17;Южный административный округ;район Бирюлёво Восточное;;;(495) 916-916-9;;5zvezd.ru;secretar@paradisegroup.ru;;;;;37,66409;55,595546;85988708;55.595546;37.66409
126;Комсомолец;Дмитровское ш., д.49, корп. 1;Северный административный округ;Тимирязевский район;;;;;;;;;;;37,569064;55,84085;85988709;55.84085;37.569064
127;Орбита;пр-т Андропова, д.27;Южный административный округ;район Нагатинский Затон;;;(499) 615-65-60;;orbitacinema.ru;;;;;;37,665341;55,676304;85988710;55.676304;37.665341
128;Орленок;ул. Русаковская, д.23;Восточный административный округ;район Сокольники;;;433-46-01;;orlenok-kino.ru;orlenok-kino@mail.ru;;;;;37,675835;55,78597;85988711;55.78597;37.675835
129;Первомайский;ул. Первомайская, д.93;Восточный административный округ;район Восточное Измайлово;;;;;;;;;;;37,806457;55,79391;85988712;55.79391;37.806457
130;Полярный;ул. Полярная, д.9;Северо-Восточный административный округ;район Южное Медведково;;;;;;;;;;;37,635994;55,874368;85988713;55.874368;37.635994
131;Планета;ул. Нежинская, д.11, стр. 1;Западный административный округ;район Очаково-Матвеевское;;;;;;;;;;;37,473967;55,707692;85988714;55.707692;37.473967
